sentence	attribute	entity	entity_offset	attribute_value	attribute_value_offset
"Friends S01-S10 1080p NF WEB-DL DDP5 1 x264-TJUPT
"	Codex	Friends	0	"x264-TJUPT
"	38
"Supernatural S09 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
"	Season	Supernatural	0	S09	12
"The Tudors S02 BluRay 1080p TrueHD 5.1 AVC REMUX-FraMeSToR
"	Season	The Tudors	0	S02	10
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3锟cXcY@FRDS
"	Res	Twin Peaks	0	1080p	28
"Under The Dome S01 2013 BluRay 1080p x265 10bit 2Audio MNHD-FRDS
"	Year	Under The Dome	0	2013	18
"2 Broke Girls S01-S06 1080p WEB-DL AAC DD5.1 H264-Mixed 
"	Res	2 Broke Girls	0	1080p	21
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
"	Codex	Snowpiercer	0	x265	33
"Game of Thrones S01 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
"	Codex	Game of Thrones	0	HEVC	36
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3锟cXcY@FRDS
"	Year	Twin Peaks	0	1990-2017	18
"Motherland Fort Salem S01 1080p AMZN WEB-DL DDP5.1 H 264-NTG
"	Res	Motherland Fort Salem	0	1080p	25
"24 S04 1080p JPN Blu-ray AVC DD 5.1-COASTER 
"	Season	24	0	S04	2
"Hightown S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
"	Season	Hightown	0	S01	8
"The Tudors S02 BluRay 1080p TrueHD 5.1 AVC REMUX-FraMeSToR
"	Res	The Tudors	0	1080p	21
"Ascension S01 Complete 1080p BluRay DualAudio DTS-HD MA 5.1 x265 10bit-monster6688
"	Res	Ascension	0	1080p	22
"Supernatural S08 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON
"	Season	Supernatural	0	S08	12
"Game of Thrones S01 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
"	Res	Game of Thrones	0	2160p	19
"McMafia 2018 S01 GER Blu-ray 1080i AVC DTS-HD MA 5.1 
"	Season	McMafia	0	S01	12
"2 Broke Girls S01-S06 1080p WEB-DL AAC DD5.1 H264-Mixed 
"	Codex	2 Broke Girls	0	H264-Mixed	44
"Normal People S01 2160p HULU WEB-DL DDP 5 1 H 265-NTb
"	Codex	Normal People	0	"265-NTb
"	45
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
"	Res	Snowpiercer	0	1080p	20
"Game of Thrones S01 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
"	Season	Game of Thrones	0	S01	15
"The Umbrella Academy S02 1080p NF WEB-DL DDP5.1 x264-NTG 
"	Res	The Umbrella Academy	0	1080p	24
"The Umbrella Academy S02 1080p NF WEB-DL DDP5.1 x264-NTG 
"	Codex	The Umbrella Academy	0	x264-NTG	47
"Supernatural S06 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
"	Res	Supernatural	0	1080p	16
"Six Feet Under S01-S05 2001-2005 1080p WEB-DL x265 AC3锟cXcY@FRDS 
"	Year	Six Feet Under	0	2001-2005	22
"Blindspot S05 1080p AMZN WEB-DL DDP5.1 H264-NTb
"	Season	Blindspot	0	S05	9
"The Hunt 2015 S01 2160p WEB-DL AAC 5.1 H.265-PETRiFiED 
"	Year	The Hunt	0	2015	8
"Warrior Nun S01 2160p NF WEBRip DDP5.1 x265-TOMMY
"	Res	Warrior Nun	0	2160p	15
"Monk S01-S08 COMPLETE 1080p AMZN WEB-DL x264-AJP69 
"	Res	Monk	0	1080p	21
"Supernatural S04 1080p BluRay REMUX VC-1 DD 5.1-EPSiLON 
"	Res	Supernatural	0	1080p	16
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3锟cXcY@FRDS
"	Codex	Twin Peaks	0	x265	42
"24 S05 1080p JPN Blu-ray AVC DD 5.1-COASTER 
"	Res	24	0	1080p	6
"Warrior Nun S01 2160p NF WEBRip DDP5.1 x265-TOMMY
"	Season	Warrior Nun	0	S01	11
"Lost in Space S03 1080p Blu-ray AVC DTS-HD MA 1.0-DON 
"	Res	Lost in Space	0	1080p	17
"Normal People S01 2160p HULU WEB-DL DDP 5 1 H 265-NTb
"	Res	Normal People	0	2160p	17
"The Hunt 2015 S01 2160p WEB-DL AAC 5.1 H.265-PETRiFiED 
"	Codex	The Hunt	0	H.265-PETRiFiED	38
"Six Feet Under S01-S05 2001-2005 1080p WEB-DL x265 AC3锟cXcY@FRDS 
"	Res	Six Feet Under	0	1080p	32
"Under The Dome S01 2013 BluRay 1080p x265 10bit 2Audio MNHD-FRDS
"	Codex	Under The Dome	0	x265	36
"Blindspot S05 1080p AMZN WEB-DL DDP5.1 H264-NTb
"	Codex	Blindspot	0	"H264-NTb
"	38
"The Hunt 2015 S01 2160p WEB-DL AAC 5.1 H.265-PETRiFiED 
"	Res	The Hunt	0	2160p	17
"Gangs of London S01 1080p AMZN WEB-DL DDP5.1 H264-NTb  
"	Res	Gangs of London	0	1080p	19
"Gangs Of London 2020 S01 1080p BluRay x264-SHORTBREHD
"	Res	Gangs Of London	0	1080p	24
"Supernatural S04 1080p BluRay REMUX VC-1 DD 5.1-EPSiLON 
"	Season	Supernatural	0	S04	12
"Friends S01-S10 1080p NF WEB-DL DDP5 1 x264-TJUPT
"	Res	Friends	0	1080p	15
"Ascension S01 Complete 1080p BluRay DualAudio DTS-HD MA 5.1 x265 10bit-monster6688
"	Codex	Ascension	0	x265	59
"The Bureau S01-S05 2015-2020 1080p Blu-ray x265 AC3锟cXcY@FRDS
"	Year	The Bureau	0	2015-2020	18
"The Outsider 2020 S01 1080p BluRay Remux DTS-HD MA5.1 H264-PmP 
"	Codex	The Outsider	0	H264-PmP	53
"Six Feet Under S01-05 2001-2005 1080p WEB-DL x265 AC3锟cXcY@FRDS
"	Res	Six Feet Under	0	1080p	31
"The Adventures of Sherlock Holmes 1984-1994 Disc3 1080p Blu-ray AVC LPCM 2.0-DIY@Ryu 
"	Res	The Adventures of Sherlock Holmes	0	1080p	49
"McMafia 2018 S01 GER Blu-ray 1080i AVC DTS-HD MA 5.1 
"	Year	McMafia	0	2018	7
"Senke nad Balkanom S01 1080p AMZN WEB-DL DDP2.0 H264-MZABI
"	Codex	Senke nad Balkanom	0	"H264-MZABI
"	47
"The Big Bang Theory S01-12 2007-2018 Bluray Pad 1080p x265-10bit AAC-Gamma 
"	Season	The Big Bang Theory	0	S01-12	19
"Supernatural S09 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
"	Res	Supernatural	0	1080p	16
"Unbelievable S01 HDR 1080p NF WEB-DL DDP5.1 H265-Ao
"	Season	Unbelievable	0	S01	12
"Monk S01-S08 COMPLETE 1080p AMZN WEB-DL x264-AJP69 
"	Season	Monk	0	S01-S08	4
"Into the Badlands S03 1080p BluRay REMUX AVC TrueHD 5 1-EPSiLON 
"	Season	Into the Badlands	0	S03	17
"Blindspot S05 1080p AMZN WEB-DL DDP5.1 H264-NTb
"	Res	Blindspot	0	1080p	13
"Hightown S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
"	Year	Hightown	0	2020	12
"Monk S01-S08 COMPLETE 1080p AMZN WEB-DL x264-AJP69 
"	Codex	Monk	0	x264-AJP69	39
"Westworld S02 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
"	Season	Westworld	0	S02	9
"The Outsider 2020 S01 1080p BluRay Remux DTS-HD MA5.1 H264-PmP 
"	Year	The Outsider	0	2020	12
"The Outsider 2020 S01 1080p BluRay Remux DTS-HD MA5.1 H264-PmP 
"	Res	The Outsider	0	1080p	21
"Gangs Of London 2020 S01 1080p BluRay x264-SHORTBREHD
"	Year	Gangs Of London	0	2020	15
"Cursed 2020 S01 2160p NF WEBRip DDP5.1 x265-TOMMY
"	Season	Cursed	0	S01	11
"Hawaii Five-0 S02 1080p Blu-ray AVC DD5.1-GNR 
"	Res	Hawaii Five-0	0	1080p	17
"Lost in Space S03 1080p Blu-ray AVC DTS-HD MA 1.0-DON 
"	Season	Lost in Space	0	S03	13
The Big Bang Theory S01-S12 2007-2018 BluRay 1080p Remux DTS-HD MA5 1 AVC-Gamma 	Res	The Big Bang Theory	0	1080p	44
"24 S05 1080p JPN Blu-ray AVC DD 5.1-COASTER 
"	Season	24	0	S05	2
"Steven Universe S01 1080p GBR Blu-ray AVC DD 2.0-AdBlue 
"	Season	Steven Universe	0	S01	15
"Supernatural S07 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
"	Res	Supernatural	0	1080p	16
"Into the Badlands S03 1080p BluRay REMUX AVC TrueHD 5 1-EPSiLON 
"	Res	Into the Badlands	0	1080p	21
"The X-Files S05 1080p Blu-ray AVC DTS-HD MA 5.1-jimsong 
"	Res	The X-Files	0	1080p	15
"Unbelievable S01 HDR 1080p NF WEB-DL DDP5.1 H265-Ao
"	Res	Unbelievable	0	1080p	20
"Hawaii Five-0 S02 1080p Blu-ray AVC DD5.1-GNR 
"	Season	Hawaii Five-0	0	S02	13
The Big Bang Theory S01-S12 2007-2018 BluRay 1080p Remux DTS-HD MA5 1 AVC-Gamma 	Year	The Big Bang Theory	0	2007-2018	27
"Supernatural S07 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
"	Season	Supernatural	0	S07	12
"Supernatural S05 1080p BluRay REMUX VC-1 DD 5.1-EPSiLON 
"	Season	Supernatural	0	S05	12
"Hawaii Five-0 S06 1080p GER Blu-ray AVC DTS-HD MA 5 1-NOGRP 
"	Season	Hawaii Five-0	0	S06	13
"Westworld S02 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
"	Res	Westworld	0	2160p	13
